category_id,category_name
1,Emergency and Crisis Lines
2,Identification Services
3,Hygiene Services
4,Encampments
5,Clothing Assistance
6,Day Centers
7,Dental and Vision Services
8,Drug and Alcohol Services
9,Employment and Training Services
10,Family and Maternity Services
11,Financial Assistance
12,Food Assistance
13,Native & Indigenous Services
14,Services For People of Color
15,General Health Services
16,HIV/AIDS Services
17,Housing Services
18,Immigrant and Refugee Services
19,Legal Services
20,LGBTQIA+ Services
21,Mail Services
22,Mental Health Services
23,Re-entry Assistance
24,Senior Services
25,Shelters
26,Storage Services
27,Survivor Support Services
28,Transportation Assistance
29,Veteran Services
30,Womxn's Health Services
31,Pets and Service Animals
32,Problem Gambling Resources
33,Disability Services
