organization_id,organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode,contact_name,contact_email,contact_phone,contact_title,sponsorship,distribution,id_req,sponsorship_email,distribution_email,org_description_es,org_address_es,schedule_es
12,"Department of Social and Health Services, Central Seattle ",,(877) 501-2233,1700 E Cherry St.,"If you are receiving public assistance, you may be eligible for an ID card at the cost of production. Ask your DSHS caseworker to fill out form 16-029 “Request for Identicard.” Check in by 3 p.m. for same-day service.","Mon. - Fri., 8 a.m. – 5 p.m.",no restrictions,allowed,t,2020-04-14 23:38:00+00,98122,Madison Dory-left message-not sure will call back.  Anne Ward-Ryan,,206-484-0324,Transition Case Manager,f,f,f,,,,,
13,"Department of Social and Health Services, North Seattle",,(877) 501-2233,9600 College Way N,"If you are receiving public assistance, you may be eligible for an ID card at the cost of production. Ask your DSHS caseworker to fill out form 16-029 “Request for Identicard.” Check in by 3 p.m. for same-day service.","Mon. - Fri., 8 a.m. – 5 p.m.",no restrictions,allowed,t,2020-04-14 23:40:00+00,98103,Madison Dory-left message.  Phone number listed in Resource Guide is a call center in Yakima- not sure I will get a call back-Anne Ward-Ryan,,206-484-0324,Transition Case Manager,f,f,f,,,,,
4,King County Sexual Assault Resource Center,kcsarc.org/,(888) 998-6423,"200 Mill Ave. S, #10","KCSARC is a victim-advocacy organization that provides critical support, tools, and direct services to children, teens, women and men who are victims of sexual assault. KCSARC works with clients of all ages and from all backgrounds.","Help and resource line: 24 hours a day, 7 days a week Main Office is Mon.-Fri. 9 a.m.-5 p.m.",no restrictions,allowed,t,2020-04-30 20:34:00+00,98057,Cindy,,,Receptionist,f,f,f,,,,,
38,Bridge Care Center,bridgecarecenter.org,(206) 789-0220,"5710 22nd Ave. NW, Bldg. B  Seattle","Drop-in center, clothing bank, computer center, community room and case management serving everyone. Visit in person. No fees.","Tue., Thurs., first and third Sat., 10 a.m. – 2 p.m.",no restrictions,allowed,t,2020-04-03 20:58:00+00,98107,Carrie Yu,carrie@bridgecarecenter.org,(206) 789-0220,Director,f,t,f,,carrie@bridgecarecenter.org,,,
39,Congregations for the Homeless,cfhomeless.org/day-center,(425) 289-4044,"515 116th Ave. NE, #150 Bellevue","Winter shelter (starting in November). Provides meals. Day services, breakfast and lunch and case management for homeless men 18 and older. Visit in person. No fees.","Winter overnight services: 7:30 p.m. – 7:30 a.m.; Men allowed on site at 7 p.m.; Day Center: Sun. – Thurs., 8 a.m. – 3 p.m.",men only,not allowed,t,2020-04-30 19:36:00+00,98004,Tom Miles,tomm@cfhomeless.org,(425) 999-3381,Outreach Navigator,f,f,f,,,,,
34,West Seattle Helpline Clothline,wshelpline.org,(206) 932-4357,"4401 42md Ave. SW, Seattle",Free all ages clothing bank. No zip code requirements. Clients can shop once every three months for entire household. Preference is call to make an appointment. Walk-ins allowed if necessary.,"Tues., Thurs., Sat., 11:30 a.m. - 1 p.m.",no restrictions,allowed,t,2020-04-26 23:33:00+00,98116,Samantha Thompson,programs@wshelpline.org,(206) 932-2746,,f,f,f,,,,,
42,Compass Housing Alliance Day Center,compasshousingalliance.org,(206) 474-1630,210 Alaskan Way S Seattle,"Hygiene and laundry services. Offers toilets, showers, self-service laundry and nurse care. Serves homeless adults, 18 and older only. Provides a space for community and housing navigation. Haircuts located in hygiene department. Also offers assistance with move-in costs.","Day center: Mon. – Fri., 9 a.m. – 4 p.m.; Hygiene: 7 a.m. – 3:30 p.m.",no restrictions,not allowed,t,2020-04-09 16:42:00+00,98104,,,,,f,t,f,,lruss@compasshousingalliance.org,,,
36,Aurora Commons,auroracommons.org,Day center: (206) 299-2278; Office: (206) 745-2089,8914 Aurora Ave. N Seattle,Operates a day center and bridges to resources. Offers programs for women who are commercially sexually exploited. Serves everyone. Call for more information and visit in person. No fees.,"Mon. – Wed., 10 a.m. – 1 p.m.; Women only: Wed., 5 – 9 p.m.; Thurs., 10 a.m. – 1 p.m.; Men’s night: Mon., 6 – 9 p.m.",no restrictions,allowed,t,2020-04-03 20:31:00+00,98103,Sara,,(206) 745-2089,,f,t,f,,info@auroracommons.org,,,
41,Mary’s Place,marysplaceseattle.org,(206) 621-8474; 24 Hour Intake (206) 245-1026,"1830 Ninth Ave., Seattle","Day center connecting clients to services for anyone identifying as female, with or without children. Visit in person. No fees.","Day center: Mon.–Fri., 7 a.m.–5 p.m.; Breakfast: 7:30–8:30 a.m.; Lunch: 12:30–1:15 p.m.; Day Center: 7 a.m.–3:30 p.m.",women only,allowed,t,2020-04-30 17:47:00+00,98101,Amanda,amanda@marysplaceseattle.org,,,f,f,f,,,,,
29,Dress for Success,seattle.dressforsuccess.org,(206) 461-4472,"1118 5th Ave. Seattle, WA 98101","Professional attire serving women.  Must have referral from case manager and schedule an appointment.  The mission of Dress for Success is to empower women to achieve economic independence by providing a network of support, professional attire and development tools to help women thrive in work and life.","Mon.–Thurs., 10 a.m. – 4 p.m. appointment hours",women only,allowed,t,2020-04-15 00:02:00+00,98101,,seattle@dressforsuccess.org,,,f,f,f,,,,,
