organization_name,website,phone_number,org_address,org_description,schedule,gender,kids,active,last_update,zipcode
Child Protective Services,,(866) 363-4276,,"A governmental agency in many states of the United States responsible for providing child protection\, which includes responding to reports of child abuse or neglect.","24 hours a day\, 7 days a week",no restrictions,allowed,t,,
Crisis Clinic 24-Hour Crisis Line,,(866) 427-4747,,"The 24-Hour Crisis Line provides immediate help to individuals\, families\, and friends of people in emotional crisis. ","24 hours a day\, 7 days a week",no restrictions,allowed,t,,
Domestic Violence Hotline,,(800) 799-7233,,"Hotline to to talk confidentially with anyone experiencing domestic violence\, seeking resources or information\, or questioning unhealthy aspects of their relationship.","24 hours a day\, 7 days a week",no restrictions,allowed,t,,
King County Sexual Assault Resource Center,,(888) 998-6423,,,"24 hours a day\, 7 days a week",no restrictions,allowed,t,,
National Suicide Prevention Hotline,,(800) 273-8255,,"Free and confidential support for people in distress\, prevention and crisis resources for people in distress or their loved ones\, and best practices for professionals.","24 hours a day\, 7 days a week",no restrictions,allowed,t,,
Planned Parenthood,,(800) 769-0045,,,"24 hours a day\, 7 days a week",no restrictions,allowed,t,,
UW 24-Hour Community Care Line,,(206) 744-2500,,,"24 hours a day\, 7 days a week",no restrictions,allowed,t,,
Veterans Affairs Crisis Line,,(800) 273-8255,,,"24 hours a day\, 7 days a week",no restrictions,allowed,t,,
Washington Poison Center Information Line,,(800) 222-1222,,,"24 hours a day\, 7 days a week",no restrictions,allowed,t,,
Washington Recovery Helpline,,(866) 789-1511,,,"24 hours a day\, 7 days a week",no restrictions,allowed,t,,
"Department of Social and Health Services\, Central Seattle",,(877) 501-2233,2106 Second Ave.,"If you are receiving public assistance\, you may be eligible for an ID card at the cost of production. Ask your DSHS caseworker to fill out form 16-029 “Request for Identicard.” Check in by 3 p.m. for same-day service.","Mon. - Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Department of Social and Health Services\, Central Seattle ",,(877) 501-2233,1700 E. Cherry St.,"If you are receiving public assistance\, you may be eligible for an ID card at the cost of production. Ask your DSHS caseworker to fill out form 16-029 “Request for Identicard.” Check in by 3 p.m. for same-day service.","Mon. - Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Department of Social and Health Services\, North Seattle",,(877) 501-2233,9600 College Way N.,"If you are receiving public assistance\, you may be eligible for an ID card at the cost of production. Ask your DSHS caseworker to fill out form 16-029 “Request for Identicard.” Check in by 3 p.m. for same-day service.","Mon. - Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Department of Social and Health Services\, South Seattle",,(877) 501-2233,3600 S. Graham St.,"If you are receiving public assistance\, you may be eligible for an ID card at the cost of production. Ask your DSHS caseworker to fill out form 16-029 “Request for Identicard.” Check in by 3 p.m. for same-day service.","Mon. - Fri.\, 8 a.m. – 5 p.m.",no restrictions,allowed,t,,
"Seattle Parks and Recreation Public Showers and Restrooms\, Central Seattle",,,330 19th Ave. E,,"Mon. – Fri\, 2 - 7 p.m.",no restrictions,allowed,t,,
"Seattle Parks and Recreation Public Showers and Restrooms\, Delridge Way SW",,,4501 Delridge Way SW,,"Mon. – Thur.\, 1 – 7 p.m.; Fri.\, 1 - 6 p.m.",no restrictions,allowed,t,,
"Seattle Parks and Recreation Public Showers and Restrooms\, South Seattle",,,4600 38th Ave. S,,"Mon.\, Wed.\, Fri.\, 8 - 10 a.m.; Tue.\, Thurs.\, 6:30 - 8:30 p.m.",no restrictions,allowed,t,,
"Seattle Parks and Recreation Public Showers and Restrooms\, North Seattle",,,7201 E Green Lake Dr. N,,"Mon. – Fri.\, 10 a.m.–8 p.m.; Sat.\, 9 a.m. - 4:30 p.m.",no restrictions,allowed,t,,
"Nickelsville Union Tiny House Village\, Church of the Good Shepherd",http://feednickelsville.wixsite.com/nickelsville,(206) 601-0999,1419 22nd Ave.,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
Nickelsville Northlake,http://feednickelsville.wixsite.com/nickelsville,(206) 390-9292,3814 Fourth Ave. NE ,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
SHARE/WHEEL Tent City 3,,,700 22nd Ave.,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
Cherry Hill Baptist Church,,(206) 399-0412,,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
SHARE/WHEEL Tent City 5,,(206) 356-4484,1601 15th Ave. W,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
Nickelsville Othello Village,http://feednickelsville.wixsite.com/nickelsville,(425) 615-0800,7544 MLK Jr. Way S,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
Nickelsville Georgetown Tiny House Village,http://feednickelsville.wixsite.com/nickelsville,(206) 399-0733,1000 S Myrtle St.,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
Camp Second Chance,,(206) 578-6551,9701 Myers Way S,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
"Camp United We Stand\, Dunstan’s Episcopal Church",,(425) 616-8853,722 N 145th St.,"Typically\, encampments move every three months. These locations are up to date as of time of printing. Call to confirm location. Call for eligibility\, application and fees. Some require referral from an outreach team.",,no restrictions,allowed,t,,
Bread of Life Mission,http://breadoflifemission.org,(206) 682-3579,97 S. Main St.,"Shelter with meals and no maximum length of stay for homeless men\, 18 and older. Accepts offenders and sex offenders. 1 bus pass per week free of charge. Documents Required: valid photo ID. $5 per night.  Women’s Clothing distribution on Tuesday\, pick up ticket between 9:30-noon\, distribution at 1pm; Men’s Clothing distribution on Fridays\, pick up ticket between 9:30-noon\, distribution at 1pm.  Day center serving homeless adults and providing clothing distribution. Light refreshments and lunch are provided. Snacks and hot meals.  Permanent mailing address and storage space serving everyone. $20 & $35 for storage depending on size per month\, with a refundable $15 deposit for the key.Documents required for mail services: photo ID.   Wheelchair accessible. Visit in person. No fees.  ","Office: 9:30 a.m. - 3:00 p.m..; Overnight bed sign-up: daily: 5:30 – 6:15 p.m.\, 8 – 8:15 p.m.; Lunch: Mon. – Fri.\, 12:15 p.m.; Dinner: Mon. – Sat.\, 7:15 p.m.; Women’s clothing distribution on Tuesday\, pick up ticket between 9:30-noon\, distribution at 1pm; Men’s clothing distribution on Fridays\, pick up ticket between 9:30-noon\, distribution at 1pm.; Mail pick-up: Mon. – Fri.\, 9:30 a.m. – 3:30 p.m. ",no restrictions,not allowed,t,,
Dress for Success,http://seattle.dressforsuccess.org,(206) 461-4472,1118 Fifth Ave.,Professional attire serving women and men. Must have referral from case manager and schedule an appointment.,"Mon – Thurs.\, 10 a.m. – 4 p.m. appointment hours",no restrictions,allowed,t,,
Jubilee Women’s Center,http://jwcenter.org/our-programs/boutique,(206) 324-1244,620 18th Ave. E.,"Offers up to two bags of clothing every 3 months. Serves low-income or homeless women. Call to make an appointment. No fees. Structured short- and long-term community housing for single\, female-identifying adults without children in care. Limited wheelchair access. Call\, visit in person\, or visit website for application. Residents pay 30 percent of monthly income or $50/ month.","Tue. – Thurs.\, 9 a.m. – 6 p.m.\, Mon.\, Fri.\, 9 a.m. – 5 p.m.; Boutique Hours: Tues 10:00 a.m. - 12:30 p.m.; ",women only,allowed,t,,
Queen Anne Helpline,http://queenannehelpline.org,(206) 282-1540,311 W. McGraw St.,"Adult clothing for those in Seattle or anyone who is homeless. May receive once every 30 days. Call for an appointment. Documents required: photo ID. No fees. Financial assistance for rent and utility bills for those living within ZIP codes 98109\, 98119 and 98199 only that are low-income and/or have proof of hardship. May receive help up to two times within a 12-month period. Additional services with clothing bank\, food bank\, bus tickets and resources. Call for an appointment and more details. Food bags that may be received once every 30 days. Call for an appointment. Documents Required: photo ID. No fees.","Call: 9 a.m. – 4 p.m.; Client Hours: Mon.\, Tue.\, Thurs.\, 10:00 a.m. – 3 p.m.; Financial or Food Assistance Appointments: Mon.\, Tue.\, Thurs.\, 10 a.m. – 3 p.m.",no restrictions,allowed,t,,
St . Francis House,http://stfrancishouseseattle.org,(206) 621-0945,169 12th Ave.,Clothing serving anyone. May receive assistance once every 30 days. Visit in person. No fees.,"Mon. – Fri.\, 10 a.m. – 2:30 p.m.",no restrictions,allowed,t,,
St . Vincent de Paul of Seattle,http://svdpseattle.org,(206) 767-6449,Call Help-line for Chapters,"Furniture\, beds\, clothing and other household items serving King County residents. Call the helpline. Intake specialists send requests to the appropriate chapter. No fees. Financial assistance for King County residents. Type of assistance available depends on neighborhood chapter. Call to be referred to appropriate chapter. No fees.","Helpline: Mon. – Fri.\, 8 a.m. – 3 p.m.",no restrictions,allowed,t,,
West Seattle Helpline Clothline,http://wshelpline.org,(206) 932-4357,4401 42 Ave. SW,Free all ages clothing bank. No zip code requirements. Clients can shop once every 3 months for entire household. Preference is call to make an appointment. Walk-ins allowed if necessary.,"Tues.\, Thurs.\, Sat.\, 11:30 a.m. - 1 p.m.",no restrictions,allowed,t,,
Angeline’s Center,http://ywcaworks.org/programs/angelines-day-center,(206) 436-8650; Enhanced Shelter: (206) 436-8656,2030 Third Ave.,"Serves homeless adult women. Service animals accepted. Attend 20-minute orientation and apply; performs background checks.  Operates a day center with meals daily. Offers information and referral to other services. Serves anyone who identifies as female\, 18 and older. Visit in person. No fees.",daily 8 a.m. – 8 p.m.; Intake for Enhanced Shelter: Mon. - Fri. before 3 pm.,women only,not allowed,t,,
Aurora Commons,http://auroracommons.org,(206) 299-2278,8914 Aurora Ave. N,Operates a day center and bridges to resources. Offers programs for women who are commercially sexually exploited. Serves everyone. Call for more information and visit in person. No fees.,"Mon. – Wed.\, 10 a.m. – 1 p.m.; Women Only: Wed.\, 5 – 9 p.m.; Thurs.\, 10 a.m. – 1 p.m.; Men’s Night: Mon.\, 6 – 9 p.m.",no restrictions,allowed,t,,
Bethlehem Day Center,http://nbpshelter.org/need-help-now/,(425) 679-0350,"11920 NE 80th St\, Suite #100\, Kirkland","Services include: Showers\, Laundry\, Snacks and Dinner\, Kids Corner and Playground\, Internet\, Case Management. Requirement to access services: one minor child (under the age of 18) as part of the family unit—drop ins welcome.","Sun. – Sat.\, 2 – 8 p.m.",no restrictions,allowed,t,,
Bridge Care Center,http://bridgecarecenter.org,(206) 789-0220,"5710 22nd Ave. NW\, Bldg B","Drop-in center\, clothing bank\, computer center\, community room and case management serving everyone. Visit in person. No fees.","Tue.\, Thurs.\, First and Third Sat.\, 10 a.m. – 2 p.m.",no restrictions,allowed,t,,
Congregations for the Homeless,http://cfhomeless.org/day-center/,(425) 289-4044,"515 116th Ave. NE\, Suite 150\, Bellevue","Winter shelter (starting in November). Provides meals. Day services\, breakfast and lunch and case management for homeless men 18 and older. Visit in person. No fees.","Winter overnight services 7:30 p.m. - 7:30 a.m.; Men allowed on site beginning at 7 p.m.; Day Center: Sun.-Thurs.\, 8 a.m. – 3 p.m.",men only,not allowed,t,,
